"Date,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM)",,,,
"2022-03-11,1991.45,1978.7,1521.27,1512.72,1813.22,1803.19",,,,
"2022-03-10,1997.65,1996.6,1518.61,1520.41,1810.27,1812.51",,,,
"2022-03-09,2017.15,1988.9,1531.02,1510.77,1835.4,1802.94",,,,
"2022-03-08,2007.0,2039.05,1528.73,1553.35,1845.64,1870.22",,,,
"2022-03-07,1999.25,1980.95,1520.63,1505.52,1849.31,1818.91",,,,
"2022-03-04,1943.8,1945.3,1460.18,1472.4,1764.97,1783.26",,,,
"2022-03-03,1935.4,1929.6,1446.91,1443.34,1745.92,1741.08",,,,
"2022-03-02,1926.0,1928.5,1447.0,1445.6,1736.48,1738.16",,,,
"2022-03-01,1920.45,1922.0,1434.0,1435.54,1719.57,1724.23",,,,
,,,,
,open,close,open change,close change
28/02/2022,1903.3,1909.85,-8.85,
25/02/2022,1912.15,1884.8,,
24/02/2022,1968.35,1936.3,,
23/02/2022,1895.7,1904.7,,
22/02/2022,1895,1900.1,,
21/02/2022,1895.45,1894.45,,
18/02/2022,1886.95,1893.6,,
17/02/2022,1886.55,1893.45,,
16/02/2022,1854.4,1862.6,,
15/02/2022,1855.1,1848.55,,
14/02/2022,1855.8,1866.15,,
11/02/2022,1826.25,1831.15,,
10/02/2022,1832.3,1835.35,,
09/02/2022,1828.1,1827.8,,
08/02/2022,1821,1822.6,,
07/02/2022,1811.15,1813.55,,
04/02/2022,1814.55,1804.7,,
03/02/2022,1803.75,1792.7,,
02/02/2022,1802,1803.65,,
01/02/2022,1806.5,1799.85,,
,,,,
"2022-01-31,1790.6,1795.25,1332.21,1337.1,1602.23,1604.77",,,,
"2022-01-28,1790.2,1788.15,1337.64,1333.24,1607.96,1603.08",,,,
"2022-01-27,1815.5,1806.75,1352.55,1348.56,1621.97,1618.85",,,,
"2022-01-26,1845.2,1835.95,1366.0,1359.52,1635.59,1626.84",,,,
"2022-01-25,1835.65,1847.3,1363.15,1372.17,1627.12,1638.56",,,,
"2022-01-24,1838.25,1831.6,1361.41,1360.33,1623.73,1621.7",,,,
"2022-01-21,1834.25,1837.6,1352.03,1355.41,1618.54,1619.29",,,,
"2022-01-20,1836.7,1845.35,1348.87,1352.09,1619.05,1626.86",,,,
"2022-01-19,1817.5,1826.95,1334.23,1339.34,1602.13,1610.46",,,,
"2022-01-18,1810.8,1817.25,1329.13,1338.04,1589.16,1599.54",,,,
"2022-01-17,1820.05,1817.85,1330.64,1331.39,1594.0,1594.25",,,,
"2022-01-14,1822.25,1822.95,1327.14,1332.58,1590.28,1595.45",,,,
"2022-01-13,1822.4,1820.35,1326.34,1324.67,1589.5,1587.16",,,,
"2022-01-12,1816.4,1821.4,1333.24,1330.53,1598.8,1594.82",,,,
"2022-01-11,1805.2,1806.8,1327.36,1330.53,1593.63,1595.22",,,,
"2022-01-10,1800.55,1794.2,1324.66,1325.38,1589.35,1588.41",,,,
"2022-01-07,1792.2,1792.6,1322.82,1321.5,1584.3,1581.79",,,,
"2022-01-06,1804.95,1789.35,1333.68,1322.15,1595.03,1580.71",,,,
"2022-01-05,1818.5,1826.25,1342.96,1347.96,1607.37,1610.94",,,,
"2022-01-04,1809.05,1811.4,1339.6,1339.17,1600.47,1604.9",,,,
